"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2011,2012,2013,2014,
"Uganda","746","Export Diversification Index","total_theil","Value","2.8204374","2.6217604","2.5478079","2.5593486",
"Ukraine","926","Extensive Margin","between_theil","Value","0.0032548186414409","0.0016697966411863","0","0",
"Ukraine","926","Intensive Margin","within_theil","Value","2.0426154453362","2.03348827362061","2.02461338043213","2.06094717979431",
"Ukraine","926","Export Diversification Index","total_theil","Value","2.0458703","2.0351582","2.0246134","2.0609472",
"Uruguay","298","Extensive Margin","between_theil","Value","0.0900809831756239","0.0774581134319305","0.0366910397903807","0.0346060320734978",
"Uruguay","298","Intensive Margin","within_theil","Value","2.57036145908535","2.70360720157623","2.83513784408569","2.85904252529144",
"Uruguay","298","Export Diversification Index","total_theil","Value","2.6604424","2.7810652","2.8718288","2.8936486",
"Ghana","652","Extensive Margin","between_theil","Value","0.139432749811935","0.124546468257866","0.0614200159907341","0.0681810677051544",
"Ghana","652","Intensive Margin","within_theil","Value","3.91165799363716","3.97511339187622","3.982501745224","4.11468470096588",
"Ghana","652","Export Diversification Index","total_theil","Value","4.0510907","4.0996599","4.0439219","4.1828656",
"Chad","628","Intensive Margin","within_theil","Value","5.95440711081028","5.88575668307021","5.86245317284465","5.93855368345976",
"Germany","134","Intensive Margin","within_theil","Value","1.69207370235381","1.70536431768414","1.70516110480821","1.72991902386275",
"Germany","134","Export Diversification Index","total_theil","Value","1.7016743","1.7149619","1.7147706","1.7395089",
"Djibouti","611","Extensive Margin","between_theil","Value","0.116131237070022","0.0517385192215443","0.0127064286357381","0.0154901966452599",
"Djibouti","611","Intensive Margin","within_theil","Value","3.48072613129625","3.17050686478615","3.57897162437439","3.75761833786964",
"Lesotho","666","Intensive Margin","within_theil","Value","4.52223421869439","4.42537851824818","4.43696022033691","4.62705516815186",
"Lesotho","666","Export Diversification Index","total_theil","Value","4.7433529","4.6444287","4.6501536","4.8402486",
"Lithuania","946","Extensive Margin","between_theil","Value","0.0508694201189798","0.0458344705402851","0.0491878725236538","0.0458344705402851",
